t,anomaly_label
0.0,0
0.06211,0
0.067114,0
0.072108,0
0.1121,0
0.162092,0
0.167091,0
0.196955,0
0.217082,0
0.262074,0
0.267073,0
0.317064,0
0.362057,0
0.367062,0
0.417047,0
0.462039,0
0.517068,0
0.562021,0
0.567022,0
0.617012,0
0.662006,0
0.667018,0
0.716996,0
0.761987,0
0.766986,0
0.811978,0
0.861974,0
0.866968,0
0.917001,0
0.961966,0
0.966962,0
0.999013,0
1.016945,0
1.061935,0
1.066933,0
1.116925,0
1.161918,0
1.216907,0
1.261899,0
1.266898,0
1.31689,0
1.361881,0
1.36688,0
1.416872,0
1.461864,0
1.466864,0
1.511858,0
1.561846,0
1.566846,0
1.616837,0
1.661829,0
1.666828,0
1.71682,0
1.761819,0
1.766811,0
1.816854,0
1.861795,0
1.916785,0
1.961777,0
1.966798,0
2.003632,0
2.016768,0
2.061759,0
2.06676,0
2.11675,0
2.161752,0
2.166741,0
2.211734,0
2.261725,0
2.266724,0
2.316715,0
2.361707,0
2.366706,0
2.416698,0
2.46169,0
2.466689,0
2.51668,0
2.561673,0
2.566671,0
2.616662,0
2.66166,0
2.666703,0
2.716664,0
2.761648,0
2.766636,0
2.816628,0
2.86162,0
2.866619,0
2.91661,0
2.961602,0
2.966601,0
3.003205,0
3.016592,0
3.061585,0
3.066584,0
3.116575,0
3.161567,0
3.166566,0
3.216557,0
3.26155,0
3.266549,0
3.31654,0
3.361532,0
3.366531,0
3.416523,0
3.461518,0
3.466514,0
3.516506,0
3.561498,0
3.566497,0
3.616488,0
3.66148,0
3.666479,0
3.716471,0
3.761509,0
3.766461,0
3.816453,0
3.861445,0
3.866444,0
3.916435,0
3.961428,0
3.966427,0
4.000957,0
4.016418,0
4.061419,0
4.066409,0
4.116401,0
4.161392,0
4.166396,0
4.216383,0
4.261375,0
4.266374,0
4.316367,0
4.361358,0
4.366357,0
4.416403,0
4.461365,0
4.466359,0
4.516339,0
4.561323,0
4.566323,0
4.616315,0
4.661305,0
4.666304,0
4.716296,0
4.761288,0
4.766287,0
4.816278,0
4.86127,0
4.866269,0
4.916261,0
4.961253,0
4.966253,0
4.997087,0
5.016243,0
5.061287,0
5.066235,0
5.116226,0
5.161218,0
5.166217,0
5.216208,0
5.261201,0
5.2662,0
5.316194,0
5.361207,0
5.366182,0
5.416174,0
5.461166,0
5.466165,0
5.516156,0
5.561148,0
5.566148,0
5.616151,0
5.661132,0
5.66613,0
5.716123,0
5.761114,0
5.766127,0
5.816104,0
5.861096,0
5.866095,0
5.916093,0
5.961079,0
5.966078,0
6.002769,0
6.016069,0
6.061061,0
6.066064,0
6.116052,0
6.161047,0
6.166046,0
6.216087,0
6.261031,0
6.266033,0
6.316017,0
6.36101,0
6.366007,0
6.415999,0
6.460991,0
6.465992,0
6.515981,0
6.560974,0
6.565973,0
6.615964,0
6.660961,0
6.665961,0
6.715947,0
6.760939,0
6.765938,0
6.815928,0
6.860927,0
6.865922,0
6.915912,0
6.960905,0
6.965903,0
6.998959,0
7.015895,0
7.060898,0
7.065886,0
7.115877,0
7.160869,0
7.165871,0
7.21586,0
7.260852,0
7.265851,0
7.315842,0
7.360834,0
7.365834,0
7.415824,0
7.460816,0
7.465816,0
7.515807,0
7.560799,0
7.565798,0
7.61579,0
7.660782,0
7.665781,0
7.715772,0
7.760764,0
7.765763,0
7.815755,0
7.860747,0
7.865746,0
7.915738,0
7.960729,0
7.965729,0
7.99796,0
8.015766,0
8.060755,0
8.065726,0
