t,mavros-nav_info-roll:field.measured,mavros-nav_info-roll:field.measured_mask,mavros-nav_info-roll:field.measured_med,mavros-nav_info-pitch:field.measured,mavros-nav_info-pitch:field.measured_mask,mavros-nav_info-pitch:field.measured_med,mavros-nav_info-yaw:field.measured,mavros-nav_info-yaw:field.measured_mask,mavros-nav_info-yaw:field.measured_med,mavros-vfr_hud:field.groundspeed,mavros-vfr_hud:field.groundspeed_mask,mavros-vfr_hud:field.groundspeed_med,mavros-vfr_hud:field.heading,mavros-vfr_hud:field.heading_mask,mavros-vfr_hud:field.heading_med,mavros-vfr_hud:field.throttle,mavros-vfr_hud:field.throttle_mask,mavros-vfr_hud:field.throttle_med,mavros-vfr_hud:field.climb,mavros-vfr_hud:field.climb_mask,mavros-vfr_hud:field.climb_med,mavros-vfr_hud:field.altitude,mavros-vfr_hud:field.altitude_mask,mavros-vfr_hud:field.altitude_med,mavros-nav_info-roll:field.measured__sin_med,mavros-nav_info-roll:field.measured__cos_med,mavros-nav_info-pitch:field.measured__sin_med,mavros-nav_info-pitch:field.measured__cos_med,mavros-nav_info-yaw:field.measured__sin_med,mavros-nav_info-yaw:field.measured__cos_med,mavros-vfr_hud:field.heading__sin_med,mavros-vfr_hud:field.heading__cos_med,mavros-nav_info-roll:field.measured__sin_med_mm,mavros-nav_info-roll:field.measured__cos_med_mm,mavros-nav_info-pitch:field.measured__sin_med_mm,mavros-nav_info-pitch:field.measured__cos_med_mm,mavros-nav_info-yaw:field.measured__sin_med_mm,mavros-nav_info-yaw:field.measured__cos_med_mm,mavros-vfr_hud:field.groundspeed_med_mm,mavros-vfr_hud:field.heading__sin_med_mm,mavros-vfr_hud:field.heading__cos_med_mm,mavros-vfr_hud:field.throttle_med_mm,mavros-vfr_hud:field.climb_med_mm,mavros-vfr_hud:field.altitude_med_mm
0.0,-1.5924159,0,-1.5924159,-2.060847,0,-2.060847,84.97937,0,84.97937,15.047489,0,15.047489,84.0,0,84.0,0.47,0,0.47,-1.031676,0,-1.031676,389.78998,0,389.78998,-0.027789323,0.9996138,-0.035960812,0.99935323,0.99616325,0.08751442,0.9945219,0.104528464,0.4837754,0.99903077,0.46293092,0.98425716,0.9980816,0.5437572,0.25591055,0.9972609,0.5522642,0.62666667,0.35053614,0.27862364
4.434585570933791e-05,-1.5924159,0,-1.5924159,-2.060847,0,-2.060847,84.97937,0,84.97937,15.047489,0,15.047489,84.0,0,84.0,0.47,0,0.47,-1.031676,0,-1.031676,389.78998,0,389.78998,-0.027789323,0.9996138,-0.035960812,0.99935323,0.99616325,0.08751442,0.9945219,0.104528464,0.4837754,0.99903077,0.46293092,0.98425716,0.9980816,0.5437572,0.25591055,0.9972609,0.5522642,0.62666667,0.35053614,0.27862364
6.818771361949416e-05,-1.5924159,0,-1.5924159,-2.060847,0,-2.060847,84.97937,0,84.97937,15.047489,0,15.047489,84.0,0,84.0,0.47,0,0.47,-1.031676,0,-1.031676,389.78998,0,389.78998,-0.027789323,0.9996138,-0.035960812,0.99935323,0.99616325,0.08751442,0.9945219,0.104528464,0.4837754,0.99903077,0.46293092,0.98425716,0.9980816,0.5437572,0.25591055,0.9972609,0.5522642,0.62666667,0.35053614,0.27862364
0.0019245147705042,-1.5924159,0,-1.5924159,-2.060847,0,-2.060847,84.97937,0,84.97937,15.047489,0,15.047489,84.0,0,84.0,0.47,0,0.47,-1.031676,0,-1.031676,389.78998,0,389.78998,-0.027789323,0.9996138,-0.035960812,0.99935323,0.99616325,0.08751442,0.9945219,0.104528464,0.4837754,0.99903077,0.46293092,0.98425716,0.9980816,0.5437572,0.25591055,0.9972609,0.5522642,0.62666667,0.35053614,0.27862364
0.0019664764404261,-1.5924159,0,-1.5924159,-2.060847,0,-2.060847,84.97937,0,84.97937,15.047489,0,15.047489,84.0,0,84.0,0.47,0,0.47,-1.031676,0,-1.031676,389.78998,0,389.78998,-0.027789323,0.9996138,-0.035960812,0.99935323,0.99616325,0.08751442,0.9945219,0.104528464,0.4837754,0.99903077,0.46293092,0.98425716,0.9980816,0.5437572,0.25591055,0.9972609,0.5522642,0.62666667,0.35053614,0.27862364
0.0032401084899866,-1.5924159,0,-1.5924159,-2.060847,0,-2.060847,84.97937,0,84.97937,15.047489,0,15.047489,84.0,0,84.0,0.47,0,0.47,-1.031676,0,-1.031676,389.78998,0,389.78998,-0.027789323,0.9996138,-0.035960812,0.99935323,0.99616325,0.08751442,0.9945219,0.104528464,0.4837754,0.99903077,0.46293092,0.98425716,0.9980816,0.5437572,0.25591055,0.9972609,0.5522642,0.62666667,0.35053614,0.27862364
0.0155839920043909,-1.5924159,0,-1.5924159,-2.060847,0,-2.060847,84.97937,0,84.97937,15.047489,0,15.047489,84.0,0,84.0,0.47,0,0.47,-1.031676,0,-1.031676,389.78998,0,389.78998,-0.027789323,0.9996138,-0.035960812,0.99935323,0.99616325,0.08751442,0.9945219,0.104528464,0.4837754,0.99903077,0.46293092,0.98425716,0.9980816,0.5437572,0.25591055,0.9972609,0.5522642,0.62666667,0.35053614,0.27862364
0.0211715698242151,-1.5924159,0,-1.5924159,-2.060847,0,-2.060847,84.97937,0,84.97937,15.047489,0,15.047489,84.0,0,84.0,0.47,0,0.47,-1.031676,0,-1.031676,389.78998,0,389.78998,-0.027789323,0.9996138,-0.035960812,0.99935323,0.99616325,0.08751442,0.9945219,0.104528464,0.4837754,0.99903077,0.46293092,0.98425716,0.9980816,0.5437572,0.25591055,0.9972609,0.5522642,0.62666667,0.35053614,0.27862364
0.0213377475738489,-1.5924159,0,-1.5924159,-2.060847,0,-2.060847,84.97937,0,84.97937,15.047489,0,15.047489,84.0,0,84.0,0.47,0,0.47,-1.031676,0,-1.031676,389.78998,0,389.78998,-0.027789323,0.9996138,-0.035960812,0.99935323,0.99616325,0.08751442,0.9945219,0.104528464,0.4837754,0.99903077,0.46293092,0.98425716,0.9980816,0.5437572,0.25591055,0.9972609,0.5522642,0.62666667,0.35053614,0.27862364
0.0219171047210622,-1.5924159,0,-1.5924159,-2.060847,0,-2.060847,84.97937,0,84.97937,15.047489,0,15.047489,84.0,0,84.0,0.47,0,0.47,-1.031676,0,-1.031676,389.78998,0,389.78998,-0.027789323,0.9996138,-0.035960812,0.99935323,0.99616325,0.08751442,0.9945219,0.104528464,0.4837754,0.99903077,0.46293092,0.98425716,0.9980816,0.5437572,0.25591055,0.9972609,0.5522642,0.62666667,0.35053614,0.27862364
0.0417547225952077,-1.5924159,0,-1.5924159,-2.060847,0,-2.060847,84.97937,0,84.97937,15.047489,0,15.047489,84.0,0,84.0,0.47,0,0.47,-1.031676,0,-1.031676,389.78998,0,389.78998,-0.027789323,0.9996138,-0.035960812,0.99935323,0.99616325,0.08751442,0.9945219,0.104528464,0.4837754,0.99903077,0.46293092,0.98425716,0.9980816,0.5437572,0.25591055,0.9972609,0.5522642,0.62666667,0.35053614,0.27862364
