t,mavros-nav_info-roll:field.measured,mavros-nav_info-roll:field.measured_mask,mavros-nav_info-roll:field.measured_med,mavros-nav_info-pitch:field.measured,mavros-nav_info-pitch:field.measured_mask,mavros-nav_info-pitch:field.measured_med,mavros-nav_info-yaw:field.measured,mavros-nav_info-yaw:field.measured_mask,mavros-nav_info-yaw:field.measured_med,mavros-vfr_hud:field.groundspeed,mavros-vfr_hud:field.groundspeed_mask,mavros-vfr_hud:field.groundspeed_med,mavros-vfr_hud:field.heading,mavros-vfr_hud:field.heading_mask,mavros-vfr_hud:field.heading_med,mavros-vfr_hud:field.throttle,mavros-vfr_hud:field.throttle_mask,mavros-vfr_hud:field.throttle_med,mavros-vfr_hud:field.climb,mavros-vfr_hud:field.climb_mask,mavros-vfr_hud:field.climb_med,mavros-vfr_hud:field.altitude,mavros-vfr_hud:field.altitude_mask,mavros-vfr_hud:field.altitude_med,mavros-nav_info-roll:field.measured__sin_med,mavros-nav_info-roll:field.measured__cos_med,mavros-nav_info-pitch:field.measured__sin_med,mavros-nav_info-pitch:field.measured__cos_med,mavros-nav_info-yaw:field.measured__sin_med,mavros-nav_info-yaw:field.measured__cos_med,mavros-vfr_hud:field.heading__sin_med,mavros-vfr_hud:field.heading__cos_med,mavros-nav_info-roll:field.measured__sin_med_mm,mavros-nav_info-roll:field.measured__cos_med_mm,mavros-nav_info-pitch:field.measured__sin_med_mm,mavros-nav_info-pitch:field.measured__cos_med_mm,mavros-nav_info-yaw:field.measured__sin_med_mm,mavros-nav_info-yaw:field.measured__cos_med_mm,mavros-vfr_hud:field.groundspeed_med_mm,mavros-vfr_hud:field.heading__sin_med_mm,mavros-vfr_hud:field.heading__cos_med_mm,mavros-vfr_hud:field.throttle_med_mm,mavros-vfr_hud:field.climb_med_mm,mavros-vfr_hud:field.altitude_med_mm
0.0,27.868982,0,27.868982,11.786502,0,11.786502,-71.54645,0,-71.54645,12.71011,0,12.71011,296.0,0,296.0,0.41,0,0.41,3.794409,0,3.794409,391.88,0,391.88,0.4674513,0.88401884,0.20426545,0.9789155,-0.94858056,0.31653577,-0.89879405,0.43837115,0.79449826,0.70893055,0.911844,0.4867886,0.02570972,0.65826786,0.11165911,0.050602976,0.7191856,0.5466667,0.6831225,0.30922422
0.000812292098999,27.868982,0,27.868982,11.786502,0,11.786502,-71.54645,0,-71.54645,12.71011,0,12.71011,296.0,0,296.0,0.41,0,0.41,3.794409,0,3.794409,391.88,0,391.88,0.4674513,0.88401884,0.20426545,0.9789155,-0.94858056,0.31653577,-0.89879405,0.43837115,0.79449826,0.70893055,0.911844,0.4867886,0.02570972,0.65826786,0.11165911,0.050602976,0.7191856,0.5466667,0.6831225,0.30922422
0.0008578300476003,27.868982,0,27.868982,11.786502,0,11.786502,-71.54645,0,-71.54645,12.71011,0,12.71011,296.0,0,296.0,0.41,0,0.41,3.794409,0,3.794409,391.88,0,391.88,0.4674513,0.88401884,0.20426545,0.9789155,-0.94858056,0.31653577,-0.89879405,0.43837115,0.79449826,0.70893055,0.911844,0.4867886,0.02570972,0.65826786,0.11165911,0.050602976,0.7191856,0.5466667,0.6831225,0.30922422
0.0031745433807301,27.868982,0,27.868982,11.786502,0,11.786502,-71.54645,0,-71.54645,12.71011,0,12.71011,296.0,0,296.0,0.41,0,0.41,3.794409,0,3.794409,391.88,0,391.88,0.4674513,0.88401884,0.20426545,0.9789155,-0.94858056,0.31653577,-0.89879405,0.43837115,0.79449826,0.70893055,0.911844,0.4867886,0.02570972,0.65826786,0.11165911,0.050602976,0.7191856,0.5466667,0.6831225,0.30922422
0.0256905555725026,27.868982,1,27.868982,11.786502,0,11.786502,-71.54645,0,-71.54645,12.71011,0,12.71011,296.0,0,296.0,0.41,0,0.41,3.794409,0,3.794409,391.88,0,391.88,0.4674513,0.88401884,0.20426545,0.9789155,-0.94858056,0.31653577,-0.89879405,0.43837115,0.79449826,0.70893055,0.911844,0.4867886,0.02570972,0.65826786,0.11165911,0.050602976,0.7191856,0.5466667,0.6831225,0.30922422
0.0257327556610036,27.868982,0,27.868982,11.786502,1,11.786502,-71.54645,0,-71.54645,12.71011,0,12.71011,296.0,0,296.0,0.41,0,0.41,3.794409,0,3.794409,391.88,0,391.88,0.4674513,0.88401884,0.20426545,0.9789155,-0.94858056,0.31653577,-0.89879405,0.43837115,0.79449826,0.70893055,0.911844,0.4867886,0.02570972,0.65826786,0.11165911,0.050602976,0.7191856,0.5466667,0.6831225,0.30922422
0.0257863998413014,27.868982,0,27.868982,11.786502,0,11.786502,-71.54645,1,-71.54645,12.71011,0,12.71011,296.0,0,296.0,0.41,0,0.41,3.794409,0,3.794409,391.88,0,391.88,0.4674513,0.88401884,0.20426545,0.9789155,-0.94858056,0.31653577,-0.89879405,0.43837115,0.79449826,0.70893055,0.911844,0.4867886,0.02570972,0.65826786,0.11165911,0.050602976,0.7191856,0.5466667,0.6831225,0.30922422
0.0258071422576833,27.868982,0,27.868982,11.786502,0,11.786502,-71.54645,0,-71.54645,12.71011,0,12.71011,296.0,0,296.0,0.41,0,0.41,3.794409,0,3.794409,391.88,0,391.88,0.4674513,0.88401884,0.20426545,0.9789155,-0.94858056,0.31653577,-0.89879405,0.43837115,0.79449826,0.70893055,0.911844,0.4867886,0.02570972,0.65826786,0.11165911,0.050602976,0.7191856,0.5466667,0.6831225,0.30922422
0.0302753448486257,27.868982,0,27.868982,11.786502,0,11.786502,-71.54645,0,-71.54645,12.71011,0,12.71011,296.0,0,296.0,0.41,0,0.41,3.794409,0,3.794409,391.88,0,391.88,0.4674513,0.88401884,0.20426545,0.9789155,-0.94858056,0.31653577,-0.89879405,0.43837115,0.79449826,0.70893055,0.911844,0.4867886,0.02570972,0.65826786,0.11165911,0.050602976,0.7191856,0.5466667,0.6831225,0.30922422
0.0303988456726003,27.868982,0,27.868982,11.786502,0,11.786502,-71.54645,0,-71.54645,12.71011,0,12.71011,296.0,0,296.0,0.41,0,0.41,3.794409,0,3.794409,391.88,0,391.88,0.4674513,0.88401884,0.20426545,0.9789155,-0.94858056,0.31653577,-0.89879405,0.43837115,0.79449826,0.70893055,0.911844,0.4867886,0.02570972,0.65826786,0.11165911,0.050602976,0.7191856,0.5466667,0.6831225,0.30922422
